,,Amharic,English,Spoken,Maths (Amharic),Maths (English),GSA,GSE,Art/Music,HPE,Integrated,Social,Civics,Biology,Chemistry,Physics,Geography,History,ICT-1,ICT-2,Aesthetics
Class ID,ID No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,SA/0020,86,79,65,70,66,77,76,,,,,,,,,,,,,78.33333333
4,SA/0023,91,85,68,79,82,92,72,,,,,,,,,,,,,79
4,SA/0040,98,97,94,93,79,95,91,,,,,,,,,,,,,93
4,SA/0060,90,96,76,74,71,72,87,,,,,,,,,,,,,80.33333333
4,SA/0082,98,98,94,89,93,94,92,,,,,,,,,,,,,93.66666667
4,SA/0088,79,72,58,78,68,78,75,,,,,,,,,,,,,79
4,SA/0106,79,80,75,68,72,41,59,,,,,,,,,,,,,75
4,SA/0111,98,100,100,89,88,89,89,,,,,,,,,,,,,91
4,SA/0125,99,98,100,93,91,95,96,,,,,,,,,,,,,95
4,SA/0128,88,79,69,73,55,69,75,,,,,,,,,,,,,83.66666667
4,SA/0133,88,91,63,81,68,76,81,,,,,,,,,,,,,85.66666667
4,SA/0168,69,87,77,70,86,75,81,,,,,,,,,,,,,74.33333333
4,SA/0178,94,95,92,83,89,97,86,,,,,,,,,,,,,90.66666667
4,SA/0184,98,91,69,92,87,97,87,,,,,,,,,,,,,93.66666667
4,SA/0194,100,97,82,79,87,90,91,,,,,,,,,,,,,84
4,SA/0231,99,97,95,94,84,96,89,,,,,,,,,,,,,88.33333333
4,SA/0287,98,100,94,98,96,100,99,,,,,,,,,,,,,92
4,SA/0305,83,90,94,80,77,96,75,,,,,,,,,,,,,88.66666667
4,SA/0307,44,91,61,51,65,45,46,,,,,,,,,,,,,61.66666667
14,SA/0011,90,86,91,79,93,81,93,,,,,,,,,,,,,89.66666667
14,SA/0034,96,94,92,92,87,96,93,,,,,,,,,,,,,93
14,SA/0066,89,90,88,84,98,84,84,,,,,,,,,,,,,91.33333333
14,SA/0102,96,98,94,92,83,86,91,,,,,,,,,,,,,88.66666667
14,SA/0104,85,84,53,75,66,84,79,,,,,,,,,,,,,82
14,SA/0129,50,63,67,48,55,57,55,,,,,,,,,,,,,74.66666667
14,SA/0140,95,94,84,87,78,93,87,,,,,,,,,,,,,93.33333333
14,SA/0141,98,97,92,86,87,92,87,,,,,,,,,,,,,88.66666667
14,SA/0156,76,71,59,57,61,64,68,,,,,,,,,,,,,78.33333333
14,SA/0195,92,89,88,87,74,73,78,,,,,,,,,,,,,91
14,SA/0200,97,74,81,95,88,82,91,,,,,,,,,,,,,94
14,SA/0206,97,82,76,76,72,87,87,,,,,,,,,,,,,89.33333333
14,SA/0218,99,98,89,85,81,98,88,,,,,,,,,,,,,91
14,SA/0237,96,88,78,93,93,94,89,,,,,,,,,,,,,86
14,SA/0238,97,100,100,100,92,95,100,,,,,,,,,,,,,95
14,SA/0261,97,97,90,97,88,98,87,,,,,,,,,,,,,92
14,SA/0265,96,99,91,94,89,100,91,,,,,,,,,,,,,94
5,SA/0001,92,89,100,88,92,93,94,,,,,,,,,,,,,97
5,SA/0080,73,77,80,73,85,80,77,,,,,,,,,,,,,90
5,SA/0127,99,79,89,93,96,89,92,,,,,,,,,,,,,96
5,SA/0142,71,67,85,64,77,73,72,,,,,,,,,,,,,79
5,SA/0150,82,96,92,66,80,91,97,,,,,,,,,,,,,94
5,SA/0153,96,70,80,82,90,92,100,,,,,,,,,,,,,96
5,SA/0170,80,75,92,68,83,82,84,,,,,,,,,,,,,95
5,SA/0201,99,99,100,90,93,91,100,,,,,,,,,,,,,97
5,SA/0264,81,77,74,81,93,75,78,,,,,,,,,,,,,97
15,SA/0024,82,56,72,65,81,86,83,,,,,,,,,,,,,83
15,SA/0025,86,84,85,77,84,90,85,,,,,,,,,,,,,94
15,SA/0030,60,78,73,72,85,68,72,,,,,,,,,,,,,86
15,SA/0054,81,84,96,69,82,74,87,,,,,,,,,,,,,90
15,SA/0079,69,56,51,58,72,63,80,,,,,,,,,,,,,81
15,SA/0098,70,65,69,60,71,79,70,,,,,,,,,,,,,83
15,SA/0180,82,82,87,65,86,77,81,,,,,,,,,,,,,90
15,SA/0181,85,68,69,87,90,85,84,,,,,,,,,,,,,92
15,SA/0182,90,70,73,78,87,85,87,,,,,,,,,,,,,93
15,SA/0190,97,94,100,94,90,82,100,,,,,,,,,,,,,98
15,SA/0222,99,96,100,97,95,97,100,,,,,,,,,,,,,94
15,SA/0251,91,81,83,83,86,84,87,,,,,,,,,,,,,95
15,SA/0266,95,94,93,78,87,90,87,,,,,,,,,,,,,92
15,SA/0282,55,42,31,40,52,46,63,,,,,,,,,,,,,82
15,SA/0295,89,85,99,82,87,94,94,,,,,,,,,,,,,93
6,SA/0002,81,72,82,73,69,78,75,,,,,,,,,,,,,88
6,SA/0018,60,42,67,45,55,44,56,,,,,,,,,,,,,66
6,SA/0026,74,80,87,79,76,50,85,,,,,,,,,,,,,79
6,SA/0042,100,100,100,91,97,99,100,,,,,,,,,,,,,97
6,SA/0049,99,97,97,81,98,98,100,,,,,,,,,,,,,98
6,SA/0064,89,87,95,86,73,87,93,,,,,,,,,,,,,93
6,SA/0071,66,60,80,51,52,64,58,,,,,,,,,,,,,87
6,SA/0083,79,81,76,55,49,52,66,,,,,,,,,,,,,86
6,SA/0114,91,73,79,86,73,76,78,,,,,,,,,,,,,89
6,SA/0134,98,94,100,92,93,97,100,,,,,,,,,,,,,97
6,SA/0138,99,89,94,88,86,68,89,,,,,,,,,,,,,95
6,SA/0169,67,41,70,62,65,59,62,,,,,,,,,,,,,81
6,SA/0177,42,46,59,44,68,45,58,,,,,,,,,,,,,78
6,SA/0185,63,71,78,59,67,44,58,,,,,,,,,,,,,82
6,SA/0212,82,48,77,74,56,60,54,,,,,,,,,,,,,81
6,SA/0272,76,42,82,40,58,49,60,,,,,,,,,,,,,82
