,,Amharic,English,Spoken,Maths (Amharic),Maths (English),GSA,GSE,Art/Music,HPE,Integrated,Social,Civics,Biology,Chemistry,Physics,Geography,History,ICT-1,ICT-2,Aesthetics
Class ID,ID No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,SA/0020,87,76,67,68,64,72,66,,,,,,,,,,,69,,78.66666667
4,SA/0023,82,72,81,76,65,94,78,,,,,,,,,,,92,,81.33333333
4,SA/0040,84,90,83,89,76,95,93,,,,,,,,,,,91,,92.33333333
4,SA/0060,80,87,68.5,81,74,83,82,,,,,,,,,,,86,,86.66666667
4,SA/0082,98,87,90,86,87,98,99,,,,,,,,,,,94,,93.33333333
4,SA/0088,78,66,55.5,77,73,86,66,,,,,,,,,,,77,,88.33333333
4,SA/0106,80,63.5,55,54,51,48,75,,,,,,,,,,,73,,86.33333333
4,SA/0111,100,91.5,100,90,91,94,100,,,,,,,,,,,99,,93.66666667
4,SA/0125,100,97,98,92,96,94,100,,,,,,,,,,,98,,96
4,SA/0128,70,53,59,82,56,78,70,,,,,,,,,,,69,,86.66666667
4,SA/0133,77,76,68.5,78,67,80,86,,,,,,,,,,,95,,91
4,SA/0168,54,74,75,88,92,66,76,,,,,,,,,,,88,,86.66666667
4,SA/0178,97,89,76,83,86,96,95,,,,,,,,,,,93,,91.33333333
4,SA/0184,90,70,84.5,93,89,89,93,,,,,,,,,,,94,,94
4,SA/0194,90,83,86.5,80,85,92,91,,,,,,,,,,,83,,93.66666667
4,SA/0231,91,90.5,83,90,86,90,95,,,,,,,,,,,90,,88
4,SA/0287,97,94.5,96,98,98,100,100,,,,,,,,,,,100,,94.33333333
4,SA/0305,84,78,67,71,51,86,90,,,,,,,,,,,84,,90.33333333
4,SA/0307,53,60.5,42,48,46,67,51,,,,,,,,,,,53,,77.33333333
14,SA/0011,92,75,86.5,80,92,88,83,,,,,,,,,,,97,,94
14,SA/0034,98,89,78,88,94,91,90,,,,,,,,,,,84,,92.66666667
14,SA/0066,92,72,63,81,77,88,79,,,,,,,,,,,94,,92
14,SA/0102,96,87,84,90,81,88,92,,,,,,,,,,,98,,91.33333333
14,SA/0104,90,81.5,47,72,71,98,72,,,,,,,,,,,86,,85.33333333
14,SA/0129,74,73.5,46.5,45,60,56,52,,,,,,,,,,,77,,79.33333333
14,SA/0140,99,64,83,90,76,100,92,,,,,,,,,,,92,,92
14,SA/0141,93,84.5,83,90,84,96,92,,,,,,,,,,,88,,91.33333333
14,SA/0156,59,74.5,78,56,60,79,56,,,,,,,,,,,75,,78.66666667
14,SA/0195,98,83,75.5,90,75,89,76,,,,,,,,,,,93,,92.33333333
14,SA/0200,91,92.5,82,81,86,92,83,,,,,,,,,,,86,,92.33333333
14,SA/0206,83,83,76,75,72,88,85,,,,,,,,,,,78,,94
14,SA/0218,97,85,90,87,78,98,94,,,,,,,,,,,97,,92.33333333
14,SA/0237,96,84,80,93,98,96,96,,,,,,,,,,,96,,90.33333333
14,SA/0238,100,92.5,98,98,97,98,100,,,,,,,,,,,100,,96.66666667
14,SA/0261,98,89,88,96,97,95,100,,,,,,,,,,,99,,93
14,SA/0265,99,80.5,86,90,95,97,79,,,,,,,,,,,93,,95.33333333
5,SA/0001,95,92,89.5,87,94,75,69,,,,,,,,,,,96,,100
5,SA/0080,63,72,75.5,78,88,72,64,,,,,,,,,,,90,,95
5,SA/0127,94,94,80.5,93,96,79,73,,,,,,,,,,,90,,98
5,SA/0142,74,72,83.5,68,56,65,64,,,,,,,,,,,84,,74
5,SA/0150,74,92,95.5,69,76,63,82,,,,,,,,,,,100,,84
5,SA/0153,89,85,90,95,72,93,78,,,,,,,,,,,99,,91
5,SA/0170,85,90,87.5,75,91,89,82,,,,,,,,,,,95,,89
5,SA/0201,99,95,97,96,85,93,96,,,,,,,,,,,95,,90
5,SA/0264,73,83,84,75,95,58,62,,,,,,,,,,,89,,82
15,SA/0024,66,75,66,71,66,78,55,,,,,,,,,,,93,,80
15,SA/0025,84,93,88,86,82,91,69,,,,,,,,,,,95,,87
15,SA/0030,65,79,71,78,95,84,60,,,,,,,,,,,81,,90
15,SA/0054,85,88,84,71,87,79,60,,,,,,,,,,,84,,91
15,SA/0079,75,69,66,52,63,60,56,,,,,,,,,,,70,,93
15,SA/0098,50,57,70,59,53,72,55,,,,,,,,,,,87,,87
15,SA/0180,85,91,86,71,89,72,60,,,,,,,,,,,98,,95
15,SA/0181,74,89,81,79,94,73,63,,,,,,,,,,,86,,93
15,SA/0182,86,91,78,68,82,75,69,,,,,,,,,,,87,,93
15,SA/0190,91,100,98,86,89,85,78,,,,,,,,,,,97,,97
15,SA/0222,97,100,98,100,96,99,94,,,,,,,,,,,96,,100
15,SA/0251,82,77,85,82,86,86,63,,,,,,,,,,,96,,98
15,SA/0266,92,99,90,82,95,89,71,,,,,,,,,,,96,,91
15,SA/0282,31,36,57,44,38,36,49,,,,,,,,,,,69,,78
15,SA/0295,88,94,80,87,73,90,84,,,,,,,,,,,92,,91
6,SA/0002,91,78,83.5,72,68,84,53,,,,,,,,,,,76,,93
6,SA/0018,51,45,38.5,42,49,48,56,,,,,,,,,,,49,,76
6,SA/0026,82,83,94.5,82,62,91,72,,,,,,,,,,,70,,77
6,SA/0042,100,94,100,97,94,99,94,,,,,,,,,,,100,,96
6,SA/0049,98,95,99.5,96,92,93,95,,,,,,,,,,,95,,89
6,SA/0064,93,92,95,99,79,87,74,,,,,,,,,,,86,,94
6,SA/0071,82,67,87,63,47,73,68,,,,,,,,,,,75,,82
6,SA/0083,58,86,76,77,52,58,64,,,,,,,,,,,75,,90
6,SA/0114,85,76,75,95,70,72,66,,,,,,,,,,,65,,88
6,SA/0134,97,99,96,97,70,89,100,,,,,,,,,,,99,,96
6,SA/0138,96,93,99,92,90,89,86,,,,,,,,,,,87,,93
6,SA/0169,67,59,58,51,47,66,58,,,,,,,,,,,68,,80
6,SA/0177,38,53,59,61,40,41,68,,,,,,,,,,,67,,72
6,SA/0185,70,60,59,85,66,52,62,,,,,,,,,,,56,,72
6,SA/0212,86,68,87,84,40,71,64,,,,,,,,,,,82,,80
6,SA/0272,65,62,75,65,36,73,55,,,,,,,,,,,71,,79
16,SA/0037,76,80,80,71,58,77,64,,,,,,,,,,,69,,82
16,SA/0041,83,65,88,60,50,79,82,,,,,,,,,,,83,,76
16,SA/0055,96,88,98,90,75,82,72,,,,,,,,,,,87,,95
16,SA/0107,78,58,84,71,54,63,79,,,,,,,,,,,67,,74
16,SA/0122,74,69,84,58,51,72,76,,,,,,,,,,,75,,85
16,SA/0126,85,83,76,79,67,94,84,,,,,,,,,,,92,,87
16,SA/0187,89,91,99,83,76,86,84,,,,,,,,,,,98,,94
16,SA/0188,97,99,99,98,95,95,94,,,,,,,,,,,94,,94
16,SA/0233,85,65,70,52,36,75,65,,,,,,,,,,,80,,78
16,SA/0239,97,90,93,93,89,98,100,,,,,,,,,,,98,,98
16,SA/0245,84,74,87,87,60,78,74,,,,,,,,,,,68,,87
16,SA/0252,68,61,64,51,43,61,59,,,,,,,,,,,60,,80
16,SA/0281,95,84,84,96,71,95,84,,,,,,,,,,,84,,92
16,SA/0293,74,54,50.5,54,44,66,45,,,,,,,,,,,70,,83
16,SA/0297,85,55,67,73,51,65,65,,,,,,,,,,,70,,80
7,SA/0003,84,76,87,88,66,68,76,,,,,,,,,,,72,,88
7,SA/0017,90,87,82,96,76,64,75,,,,,,,,,,,84,,91
7,SA/0027,86,86,93,92,81,64,73,,,,,,,,,,,81,,92
7,SA/0028,83,89,82,88,74,91,85,,,,,,,,,,,86,,89
7,SA/0043,77,68,76,89,54,64,75,,,,,,,,,,,58,,86
7,SA/0061,77,77,72,82,64,75,68,,,,,,,,,,,78,,91
7,SA/0074,49,56,59.5,42,64,38,49,,,,,,,,,,,49,,77
7,SA/0077,63,64,63.5,57,53,51,45,,,,,,,,,,,58,,83
7,SA/0081,74,67,63,51,48,59,58,,,,,,,,,,,76,,89
7,SA/0089,97,97,91,97,98,83,98,,,,,,,,,,,93,,94
7,SA/0099,88,91,89.5,100,91,74,94,,,,,,,,,,,93,,92
7,SA/0112,92,63,75,69,59,74,59,,,,,,,,,,,60,,87
7,SA/0119,57,53,73,62,43,46,55,,,,,,,,,,,65,,76
7,SA/0135,96,98,93,97,88,88,98,,,,,,,,,,,92,,96
7,SA/0161,94,83,78,84,56,58,63,,,,,,,,,,,75,,86
7,SA/0220,96,97,97,100,81,89,100,,,,,,,,,,,95,,92
7,SA/0294,41,24,41,35,34,34,46,,,,,,,,,,,46,,75
17,SA/0031,81,78,79,87,67,81,73,,,,,,,,,,,70,,94
17,SA/0032,82,87,87,90,67,60,91,,,,,,,,,,,82,,93
17,SA/0151,89,89,99,93,70,69,84,,,,,,,,,,,74,,94
17,SA/0158,78,80,79,77,47,46,61,,,,,,,,,,,70,,91
17,SA/0160,74,48,67,51,39,55,50,,,,,,,,,,,52,,86
17,SA/0196,44,56,43,54,45,39,56,,,,,,,,,,,60,,85
17,SA/0202,72,67,69,62,31,43,47,,,,,,,,,,,67,,89
