,,Amharic,English,Spoken,Maths (Amharic),Maths (English),GSA,GSE,Art/Music,HPE,Integrated,Social,Civics,Biology,Chemistry,Physics,Geography,History,ICT-1,ICT-2,Aesthetics
Class ID,ID No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,SA/0020,80,77,79,63,72,63,57,,,,,,,,,,,,,65.66666667
4,SA/0023,85,89,58,60,66,73,70,,,,,,,,,,,,,65
4,SA/0040,100,100,97,83,96,69,81,,,,,,,,,,,,,86.66666667
4,SA/0060,85,84,75,76,74,67,71,,,,,,,,,,,,,64.66666667
4,SA/0082,96,93,97,93,94,95,88,,,,,,,,,,,,,83.66666667
4,SA/0088,72,87,67,69,71,73,75,,,,,,,,,,,,,81.33333333
4,SA/0106,85,72,63,58,57,51,44,,,,,,,,,,,,,72.66666667
4,SA/0111,95,97.5,100,88,99,89,92,,,,,,,,,,,,,90.66666667
4,SA/0125,98,96,99,88,96,96,98,,,,,,,,,,,,,90.33333333
4,SA/0128,88,63,69,58,81,62,55,,,,,,,,,,,,,72.66666667
4,SA/0133,76,66,66,61,59,58,68,,,,,,,,,,,,,76
4,SA/0168,46,57,56,66,65,45,63,,,,,,,,,,,,,66
4,SA/0178,92,97,92,83,94,86,83,,,,,,,,,,,,,85
4,SA/0184,88,89,71.5,94,94,79,88,,,,,,,,,,,,,83.66666667
4,SA/0194,94,95,96,90,84,79,75,,,,,,,,,,,,,80.33333333
4,SA/0231,94,81,97,92,98,89,85,,,,,,,,,,,,,80.33333333
4,SA/0287,97,97,97,97,98,96,100,,,,,,,,,,,,,89
4,SA/0305,93,78,82,71,81,76,78,,,,,,,,,,,,,77
4,SA/0307,43,68,59,0,0,66,58,,,,,,,,,,,,,69.66666667
14,SA/0011,94,87,99,79,96,70,78,,,,,,,,,,,,,80.66666667
14,SA/0034,87,93,96,93,98,86,75,,,,,,,,,,,,,85
14,SA/0066,94,78,85.5,85,92,85,84,,,,,,,,,,,,,82.33333333
14,SA/0102,97,85.5,97.5,87,91,85,63,,,,,,,,,,,,,82
14,SA/0104,92,64,79,71,84,77,54,,,,,,,,,,,,,82.33333333
14,SA/0129,78,62,96,50,57,48,59,,,,,,,,,,,,,68.66666667
14,SA/0140,97,90.5,92,92,91,93,78,,,,,,,,,,,,,85.33333333
14,SA/0141,94,80,92,94,88,90,71,,,,,,,,,,,,,82
14,SA/0156,65,42,65.5,52,62,63,57,,,,,,,,,,,,,73
14,SA/0195,93,77,93,83,90,80,75,,,,,,,,,,,,,86.66666667
14,SA/0200,96,91.5,88,84,98,81,72,,,,,,,,,,,,,85.66666667
14,SA/0206,83,82,87,79,82,79,70,,,,,,,,,,,,,85.66666667
14,SA/0218,98,91,97,88,92,95,84,,,,,,,,,,,,,92
14,SA/0237,96,53,87.5,96,95,85,71,,,,,,,,,,,,,84.33333333
14,SA/0238,100,100,100,95,99,98,97,,,,,,,,,,,,,91
14,SA/0261,99,86.5,99,85,97,97,83,,,,,,,,,,,,,81.66666667
14,SA/0265,96,83,81.5,87,90,85,57,,,,,,,,,,,,,94
5,SA/0001,99,94,96,84,90,95,72,,,,,,,,,,,,,
5,SA/0080,80,86,86,62,70,66,52,,,,,,,,,,,,,
5,SA/0127,79,80,88,86,92,96,55,,,,,,,,,,,,,
5,SA/0142,72,69,88,57,57,83,55,,,,,,,,,,,,,
5,SA/0150,86,91,98,58,65,79,64,,,,,,,,,,,,,
5,SA/0153,94,77,90,69,76,87,53,,,,,,,,,,,,,
5,SA/0170,92,90,88,72,68,84,70,,,,,,,,,,,,,
5,SA/0201,96,99,94,80,94,94,83,,,,,,,,,,,,,
5,SA/0264,86,79,90,90,85,69,52,,,,,,,,,,,,,
15,SA/0024,82,76,79,56,64,94,55,,,,,,,,,,,,,
15,SA/0025,98,91,95,81,83,87,57,,,,,,,,,,,,,
15,SA/0030,57,73,74.5,71,91,87,44,,,,,,,,,,,,,
15,SA/0054,91,94,90.5,66,87,69,62,,,,,,,,,,,,,
15,SA/0079,88,59,76.5,59,57,76,48,,,,,,,,,,,,,
15,SA/0098,,,,,,,,,,,,,,,,,,,,
15,SA/0180,87,85,90,73,94,82,55,,,,,,,,,,,,,
15,SA/0181,100,87,88,82,84,86,50,,,,,,,,,,,,,
15,SA/0182,99,84,92.5,68,88,92,67,,,,,,,,,,,,,
15,SA/0190,90,98,99,89,81,97,76,,,,,,,,,,,,,
15,SA/0222,98,100,100,91,94,98,93,,,,,,,,,,,,,
15,SA/0251,56,,85,72,87,74,66,,,,,,,,,,,,,
15,SA/0266,95,88,90,74,77,97,67,,,,,,,,,,,,,
15,SA/0282,51,55,69,49,50,34,52,,,,,,,,,,,,,
15,SA/0295,97,92,90,76,90,91,64,,,,,,,,,,,,,
6,SA/0002,94,74,96,84,81,87,60,,,,,,,,,,,,,
6,SA/0018,40,43,61,61,56,49,60,,,,,,,,,,,,,
6,SA/0026,73,90,90,75,94,65,51,,,,,,,,,,,,,
6,SA/0042,97,97,100,97,100,99,90,,,,,,,,,,,,,
6,SA/0049,93,96,100,92,98,100,93,,,,,,,,,,,,,
6,SA/0064,94,91,99.5,89,95,84,76,,,,,,,,,,,,,
6,SA/0071,69,63,89.5,60,64,79,55,,,,,,,,,,,,,
6,SA/0083,50,70,80.5,72,88,63,51,,,,,,,,,,,,,
6,SA/0114,87,78,91,88,99,73,60,,,,,,,,,,,,,
6,SA/0134,97,98,100,87,96,95,89,,,,,,,,,,,,,
6,SA/0138,93,93,98,96,95,92,82,,,,,,,,,,,,,
6,SA/0169,78,52,67,49,56,52,58,,,,,,,,,,,,,
6,SA/0177,47,61,65,56,63,36,55,,,,,,,,,,,,,
6,SA/0185,77,87,78,86,96,65,83,,,,,,,,,,,,,
6,SA/0212,84,39,72,52,57,68,56,,,,,,,,,,,,,
6,SA/0272,67,63,69.5,55,51,57,67,,,,,,,,,,,,,
16,SA/0037,83,79,88,79,88,73,57,,,,,,,,,,,,,
16,SA/0041,96,79,85,69,77,73,58,,,,,,,,,,,,,
16,SA/0055,100,89,99,85,98,85,63,,,,,,,,,,,,,
16,SA/0107,71,64,86,59,94,64,59,,,,,,,,,,,,,
16,SA/0122,85,81,89.5,76,83,81,79,,,,,,,,,,,,,
16,SA/0126,97,80,95,68,92,82,66,,,,,,,,,,,,,
16,SA/0187,98,96,100,70,94,81,92,,,,,,,,,,,,,
16,SA/0188,100,96,98,89,97,92,74,,,,,,,,,,,,,
16,SA/0233,69,82,80,73,54,70,63,,,,,,,,,,,,,
16,SA/0239,99,94,93,91,96,96,86,,,,,,,,,,,,,
16,SA/0245,76,72,83,72,77,80,69,,,,,,,,,,,,,
16,SA/0252,76,62,71.5,63,49,70,52,,,,,,,,,,,,,
16,SA/0281,89,95,90,74,94,84,75,,,,,,,,,,,,,
16,SA/0293,92,78,75.5,61,80,64,51,,,,,,,,,,,,,
16,SA/0297,79,74,74.5,70,89,60,56,,,,,,,,,,,,,
7,SA/0003,78,78,86,86,86,82,68,,,,,,,,,,,,,
7,SA/0017,81,87,89,90,74,82,46,,,,,,,,,,,,,
7,SA/0027,76,89,94,97,80,72,52,,,,,,,,,,,,,
7,SA/0028,84,89,95.5,89,79,92,73,,,,,,,,,,,,,
7,SA/0043,83,92,97,70,80,79,67,,,,,,,,,,,,,
7,SA/0061,71,81,85,85,86,64,51,,,,,,,,,,,,,
7,SA/0074,42,37,66,63,60,53,50,,,,,,,,,,,,,
7,SA/0077,81,53,62.5,40,47,68,57,,,,,,,,,,,,,
7,SA/0081,74,52,63.5,61,62,62,45,,,,,,,,,,,,,
7,SA/0089,93,99,99,95,91,95,94,,,,,,,,,,,,,
7,SA/0099,80,94,97,93,91,86,81,,,,,,,,,,,,,
7,SA/0112,80,73,84,48,49,75,52,,,,,,,,,,,,,
7,SA/0119,68,56,82,50,35,50,45,,,,,,,,,,,,,
7,SA/0135,86,99,94,98,81,92,80,,,,,,,,,,,,,
